Sport,Event,Gender,Athlete,Medal,Year
Archery,Individual,Men,Jay Barrs,Gold,1988
Archery,Individual,Men,Rick McKinney,None,1988
Archery,Individual,Men,Darrell Pace,None,1988
Archery,Team,Men,Jay Barrs•Darrell Pace•Rick McKinney,None,1988
Archery,Individual,Women,Melanie Skillman,None,1988
Archery,Individual,Women,Denise Parker,None,1988
Archery,Individual,Women,Debra Ochs,None,1988
Archery,Team,Women,Debra Ochs•Denise Parker•Melanie Skillman,None,1988
Artistic Gymnastics,Individual All-Around,Men,Charles Lakes,None,1988
Artistic Gymnastics,Individual All-Around,Men,Kevin Davis,None,1988
Artistic Gymnastics,Individual All-Around,Men,Lance Ringnald,None,1988
Artistic Gymnastics,Individual All-Around,Men,Scott Johnson,None,1988
Artistic Gymnastics,Individual All-Around,Men,"Dominick Minicucci, Jr.",None,1988
Artistic Gymnastics,Individual All-Around,Men,Wes Suter,None,1988
Artistic Gymnastics,Team All-Around,Men,"Charles Lakes•Lance Ringnald•Kevin Davis•Scott Johnson•Dominick Minicucci, Jr.•Wes Suter",None,1988
Artistic Gymnastics,Floor Exercise,Men,Charles Lakes,None,1988
Artistic Gymnastics,Floor Exercise,Men,Scott Johnson,None,1988
Artistic Gymnastics,Floor Exercise,Men,Lance Ringnald,None,1988
Artistic Gymnastics,Floor Exercise,Men,Kevin Davis,None,1988
Artistic Gymnastics,Floor Exercise,Men,Wes Suter,None,1988
Artistic Gymnastics,Floor Exercise,Men,"Dominick Minicucci, Jr.",None,1988
Artistic Gymnastics,Horse Vault,Men,Charles Lakes,None,1988
Artistic Gymnastics,Horse Vault,Men,Scott Johnson,None,1988
Artistic Gymnastics,Horse Vault,Men,Lance Ringnald,None,1988
Artistic Gymnastics,Horse Vault,Men,Wes Suter,None,1988
Artistic Gymnastics,Horse Vault,Men,"Dominick Minicucci, Jr.",None,1988
Artistic Gymnastics,Horse Vault,Men,Kevin Davis,None,1988
Artistic Gymnastics,Parallel Bars,Men,Charles Lakes,None,1988
Artistic Gymnastics,Parallel Bars,Men,Scott Johnson,None,1988
Artistic Gymnastics,Parallel Bars,Men,Kevin Davis,None,1988
Artistic Gymnastics,Parallel Bars,Men,Lance Ringnald,None,1988
Artistic Gymnastics,Parallel Bars,Men,"Dominick Minicucci, Jr.",None,1988
Artistic Gymnastics,Parallel Bars,Men,Wes Suter,None,1988
Artistic Gymnastics,Horizontal Bar,Men,Charles Lakes,None,1988
Artistic Gymnastics,Horizontal Bar,Men,Lance Ringnald,None,1988
Artistic Gymnastics,Horizontal Bar,Men,Wes Suter,None,1988
Artistic Gymnastics,Horizontal Bar,Men,"Dominick Minicucci, Jr.",None,1988
Artistic Gymnastics,Horizontal Bar,Men,Kevin Davis,None,1988
Artistic Gymnastics,Horizontal Bar,Men,Scott Johnson,None,1988
Artistic Gymnastics,Rings,Men,Charles Lakes,None,1988
Artistic Gymnastics,Rings,Men,Kevin Davis,None,1988
Artistic Gymnastics,Rings,Men,Scott Johnson,None,1988
Artistic Gymnastics,Rings,Men,"Dominick Minicucci, Jr.",None,1988
Artistic Gymnastics,Rings,Men,Lance Ringnald,None,1988
Artistic Gymnastics,Rings,Men,Wes Suter,None,1988
Artistic Gymnastics,Pommelled Horse,Men,Kevin Davis,None,1988
